row.labels;totalprice;area;zone;category;age;floor;rooms;out;conservation;toilets;garage;elevator;streetcategory;heating;tras
1;228000;7530999756.00;Z45;4B;33;3;5;E100;2B;1;0;1;S3;3A;0
2;409000;1006500015.00;Z31;3B;5;7;5;E50;1A;2;1;1;S5;4A;1
3;200000;8887000275.00;Z52;3A;14;8;5;E50;1A;2;0;1;S2;3A;0
4;180000;6261000061.00;Z62;4A;41;3;4;E50;2A;1;0;0;S3;1A;0
5;443600;1461499939.00;Z31;3A;22;6;7;E100;1A;2;0;1;S4;4A;1
6;173000;7720999908.00;Z11;4B;35;4;5;E50;1A;1;0;0;S4;3A;1
7;245000;7704000092.00;Z47;3A;14;6;4;E50;1A;1;0;1;S3;4A;1
8;210000;6290000153.00;Z48;3B;36;3;4;E100;3A;1;0;0;S3;3A;1
9;188982.2;5847999954.00;Z11;4B;37;4;4;E25;2A;1;0;0;S4;3A;1
10;193000;5915999985.00;Z11;3B;11;5;4;E50;1A;1;0;0;S4;3A;1
11;333000;1114000015.00;Z37;4B;36;6;6;E50;2B;2;0;1;S2;4A;1
12;224000;6612000275.00;Z48;4B;10;3;5;E100;1A;1;0;0;S3;3A;1
13;560000;1558999939.00;Z21;2B;7;4;6;E100;1A;2;1;1;S4;3B;1
14;214400;6902999878.00;Z36;4B;9;2;5;E100;1A;1;0;1;S4;3A;1
15;268000;8626999664.00;Z61;3B;14;6;5;E100;1A;1;0;1;S4;3A;1
16;230000;6458000183.00;Z37;3B;10;4;4;E50;1A;1;0;0;S2;3A;0
17;207500;6768000031.00;Z48;3B;31;4;4;E100;1A;1;0;0;S3;3A;1
18;254000;8211000061.00;Z61;3B;25;4;5;E100;2B;1;0;1;S4;3A;1
19;221000;8644999695.00;Z46;4A;16;2;5;E100;2A;1;0;1;S3;3A;1
20;360500;1087399979.00;Z43;3A;14;3;5;E75;1A;2;1;1;S3;4A;1
21;250000;7479000092.00;Z45;3B;16;4;5;E50;1A;1;0;1;S3;3A;1
22;380000;103.00;Z37;3B;15;3;6;E50;1A;1;1;1;S3;3A;1
23;338000;1061500015.00;Z56;3A;4;2;5;E100;1A;2;0;1;S3;3A;1
24;372000;1155899963.00;Z44;3B;17;4;6;E100;1A;2;1;1;S4;3A;1
25;290000;9305999756.00;Z53;3A;10;8;5;E100;1A;2;0;1;S3;3A;1
26;270000;7872000122.00;Z36;3B;18;9;5;E50;1A;1;0;1;S4;3A;1
27;330000;9452999878.00;Z56;2B;7;3;4;E100;1A;2;1;1;S3;3A;1
28;340000;1215100021.00;Z46;3B;31;6;6;E100;2B;2;0;1;S3;4A;1
29;270000;868199997.00;Z53;3A;14;7;5;E100;1A;2;0;1;S3;3A;1
30;258000;7180000305.00;Z32;3B;12;2;4;E50;1A;1;0;1;S3;3A;1
31;407000;1879100037.00;Z31;4A;38;3;6;E50;2B;1;0;1;S5;4A;1
32;178000;53.00;Z62;4B;59;3;4;E50;2B;1;0;0;S3;1A;0
33;333000;9188999939.00;Z41;3B;14;5;5;E100;1A;2;1;1;S4;4A;1
34;403000;1188600006.00;Z41;3A;25;5;6;E100;1A;2;1;1;S4;4A;1
35;204000;6215000153.00;Z62;3B;13;3;5;E50;1A;1;0;0;S3;3A;0
36;198000;59.00;Z41;4B;25;5;4;E100;1A;1;0;0;S3;3A;1
37;330500;1107099991.00;Z61;3A;18;5;5;E100;1A;2;1;1;S3;4A;1
38;220000;6033000183.00;Z41;4A;31;2;4;E100;2B;1;0;0;S3;3A;1
39;373000;1037200012.00;Z37;3A;29;3;5;E50;1A;2;1;1;S2;4A;1
40;230000;6494000244.00;Z45;3A;35;6;5;E50;2B;1;0;1;S3;3A;1
41;278000;8554000092.00;Z41;3A;11;3;5;E100;1A;2;0;1;S2;3A;1
42;281500;9495999908.00;Z37;4B;21;3;5;E50;1A;1;0;0;S2;3A;1
43;227500;8611000061.00;Z46;3A;14;7;5;E100;2A;1;0;1;S3;3A;1
44;178000;1084400024.00;Z11;4B;118;3;5;E50;2B;1;0;0;S4;3A;1
45;269500;8669000244.00;Z47;2B;14;5;5;E100;1A;2;0;1;S3;4A;1
46;292000;9112000275.00;Z53;3B;8;5;5;E100;1A;2;0;1;S3;3A;1
47;235300;790699997.00;Z32;3B;10;3;4;E100;1A;1;0;1;S3;3A;1
48;426200;1414799957.00;Z42;3A;13;5;5;E100;1A;2;1;1;S5;3A;1
49;188000;6469999695.00;Z62;3B;14;5;4;E100;1A;1;0;0;S3;3A;0
50;326000;8686000061.00;Z41;3B;15;4;5;E100;1A;2;1;1;S2;3A;1
51;429400;1556799927.00;Z42;3A;14;5;6;E100;1A;2;0;1;S5;3A;1
52;215000;7798999786.00;Z61;3B;16;8;5;E50;1A;1;0;1;S4;3A;0
53;168000;8190000153.00;Z11;4A;26;2;4;E50;1A;1;0;0;S4;3A;0
54;308000;1042699966.00;Z52;3A;7;2;5;E50;1A;2;1;1;S3;3A;1
55;345000;1147799988.00;Z31;3B;16;4;5;E50;1A;2;1;1;S5;3A;1
56;390000;9091999817.00;Z41;2A;10;3;5;E100;1A;2;1;1;S4;3B;1
57;382000;1324199982.00;Z31;3B;31;5;6;E50;2B;2;0;1;S4;4A;1
58;343000;1155899963.00;Z44;3B;16;5;6;E100;1A;2;1;1;S4;3A;1
59;210000;8047000122.00;Z62;4A;22;5;5;E50;2B;1;0;0;S3;3A;1
60;290000;97.00;Z37;4A;37;5;5;E75;2A;1;0;0;S2;3A;0
61;260000;8219999695.00;Z44;3B;11;2;4;E50;1A;1;0;1;S4;4A;1
62;184000;5384000015.00;Z62;4B;59;4;4;E100;2B;1;0;0;S3;3A;1
63;270000;9955000305.00;Z52;4A;11;12;5;E100;1A;2;0;1;S2;3A;0
64;329000;9294000244.00;Z56;3A;7;3;5;E100;1A;2;1;1;S2;3A;1
65;226800;6726000214.00;Z45;4A;20;5;5;E50;1A;1;0;0;S3;3A;1
66;240000;80.00;Z35;3B;20;2;5;E100;1A;1;0;0;S4;3A;0
67;291500;6918000031.00;Z56;2B;9;7;4;E100;1A;1;1;1;S3;3A;1
68;351000;1303699951.00;Z44;2B;30;12;6;E100;1A;2;0;1;S4;4A;0
69;331600;9658999634.00;Z52;3A;8;2;5;E100;1A;2;1;1;S3;3A;2
70;280000;7858000183.00;Z32;3B;25;3;5;E50;1A;1;0;1;S3;4A;1
71;256500;8980000305.00;Z61;4A;16;3;4;E50;1A;1;0;1;S3;3A;1
72;282000;9408999634.00;Z53;3B;8;3;5;E100;1A;2;0;1;S4;3B;1
73;294000;1113700028.00;Z53;3B;19;10;5;E100;2B;2;1;1;S4;3A;1
74;314000;9672000122.00;Z53;3A;11;4;5;E100;1A;2;0;1;S4;3A;1
75;347500;9370999908.00;Z56;3A;8;4;5;E100;1A;2;2;1;S3;3A;1
76;249000;825699997.00;Z61;3B;25;8;5;E100;1A;1;0;1;S4;3A;1
77;334000;9119000244.00;Z37;3A;18;5;4;E50;1A;2;0;1;S2;3A;1
78;286000;124449997.00;Z52;3A;24;5;7;E50;1A;2;1;1;S2;3A;0
79;325000;1055800018.00;Z56;3A;4;2;5;E100;1A;2;1;1;S3;3A;0
80;260000;8318000031.00;Z21;4A;36;3;5;E50;2B;1;0;1;S4;3A;1
81;364000;1273899994.00;Z37;3B;11;2;5;E50;1A;2;0;1;S2;3A;1
82;290000;8197000122.00;Z43;3B;22;3;5;E100;2A;2;0;1;S3;4A;1
83;379500;109199997.00;Z42;3A;13;5;5;E100;1A;2;1;1;S4;3A;1
84;270000;90.25;Z62;3A;14;2;5;E50;1A;2;0;1;S3;3A;0
85;246500;7462999725.00;Z34;4A;17;5;5;E100;2A;1;0;1;S3;3A;1
86;310500;9044999695.00;Z53;3A;6;3;5;E100;1A;2;0;1;S2;3A;1
87;218000;5920999908.00;Z46;4A;18;3;5;E100;1A;1;0;1;S3;3A;0
88;233000;6381000137.00;Z47;3B;11;8;4;E75;1A;1;0;1;S3;4A;1
89;253000;7412999725.00;Z48;4A;13;2;5;E50;1A;1;0;1;S3;3A;1
90;327500;1061500015.00;Z56;2A;5;4;5;E50;1A;2;1;1;S3;3B;1
91;296000;9255999756.00;Z53;3B;15;2;5;E100;1A;2;0;1;S3;3A;1
92;275000;8597000122.00;Z41;5A;15;6;6;E25;2B;1;0;1;S4;1A;0
93;275000;1049199982.00;Z11;4A;96;5;4;E50;1A;1;0;0;S3;3A;0
94;199000;6469000244.00;Z46;4B;24;5;4;E100;2A;1;0;0;S3;3A;1
95;257500;8929000092.00;Z47;3A;11;5;5;E100;1A;2;0;1;S3;4A;1
96;200000;6851000214.00;Z46;4B;26;5;5;E100;2B;1;0;0;S3;3A;0
97;392500;1186800003.00;Z41;3A;15;2;5;E100;1A;2;1;1;S4;3A;1
98;232400;6676999664.00;Z47;3B;15;3;5;E75;1A;1;0;1;S3;4A;1
99;262000;8844000244.00;Z47;3B;18;5;5;E100;1A;2;1;1;S2;3A;1
100;277000;9984999847.00;Z52;3A;8;9;5;E100;1A;2;0;1;S2;3A;0
101;270000;9384999847.00;Z53;3A;11;3;5;E100;1A;2;0;1;S4;3A;1
102;273500;7968000031.00;Z49;3B;10;5;5;E50;1A;2;0;1;S3;4A;1
103;398000;9220999908.00;Z41;3A;10;2;5;E100;1A;2;1;1;S4;4A;1
104;258000;81.00;Z52;3B;15;8;5;E100;1A;1;1;1;S2;4A;1
105;270000;8870999908.00;Z32;4A;34;6;5;E50;2B;1;0;1;S5;4A;0
106;340000;1025999985.00;Z36;2B;9;3;4;E100;1A;2;0;1;S2;3A;1
107;340000;1035100021.00;Z41;3A;12;5;5;E100;1A;2;1;1;S2;3A;1
108;240500;7658000183.00;Z38;3B;23;3;5;E50;1A;1;0;0;S3;3A;1
109;273000;7479000092.00;Z45;3B;10;4;4;E50;1A;1;1;1;S3;4A;1
110;255000;8091999817.00;Z61;3B;11;8;4;E50;1A;1;0;1;S4;3A;1
111;297000;101699997.00;Z35;4A;52;3;5;E50;2B;2;0;0;S4;3A;0
112;276000;868199997.00;Z53;3A;14;2;5;E100;1A;2;0;1;S3;3A;1
113;308000;7311000061.00;Z21;3B;19;5;5;E100;2A;1;0;1;S4;3A;1
114;370000;1153399963.00;Z56;2A;6;4;5;E50;1A;2;1;1;S3;3B;1
115;204000;77.50;Z45;4B;15;3;5;E50;2A;1;0;1;S3;1A;1
116;478000;1341699982.00;Z21;3B;27;3;5;E50;1A;2;0;1;S3;3A;1
117;255000;8733000183.00;Z47;3B;22;3;4;E100;2B;2;0;1;S3;4A;1
118;393000;9433999634.00;Z21;3A;10;5;5;E50;1A;2;0;1;S3;4A;1
119;326000;97.00;Z41;3A;10;4;5;E100;1A;2;0;1;S5;3A;1
120;173000;6359000015.00;Z62;4A;30;4;4;E100;1A;1;0;0;S3;3A;1
121;225000;7661000061.00;Z32;3B;25;5;5;E50;1A;1;0;1;S2;3A;0
122;235000;9019000244.00;Z52;3B;6;7;5;E100;1A;1;0;1;S2;3A;0
123;250000;7304000092.00;Z61;4A;39;4;5;E50;2B;1;0;1;S3;4A;0
124;376000;1039199982.00;Z31;3B;35;4;5;E50;1A;2;0;1;S4;4A;1
125;262500;8512000275.00;Z49;4A;26;3;5;E50;2B;1;0;1;S2;3A;1
126;245700;7070999908.00;Z31;3B;20;4;4;E50;1A;1;0;0;S5;3A;1
127;247500;7398999786.00;Z36;3B;8;4;4;E100;1A;1;0;1;S4;3A;1
128;270000;9176000214.00;Z52;3B;11;5;5;E100;1A;2;0;1;S2;4A;1
129;237000;8194000244.00;Z34;3B;13;8;5;E100;1A;1;0;1;S2;3A;0
130;378000;1040699997.00;Z42;3A;19;3;5;E100;1A;2;1;1;S4;3A;1
131;347000;1065999985.00;Z36;3A;14;7;6;E100;1A;2;1;1;S2;3A;1
132;240000;7105000305.00;Z62;3A;14;3;4;E100;1A;1;1;1;S3;3A;0
133;457000;1421799927.00;Z42;3A;14;4;6;E100;2A;2;1;1;S4;3A;1
134;269000;8255000305.00;Z52;3A;25;12;5;E100;1A;2;0;1;S3;3B;1
135;348000;1124700012.00;Z43;3A;26;2;5;E50;1A;2;1;1;S4;3B;1
136;391000;9091999817.00;Z41;2B;10;5;5;E100;1A;2;2;1;S4;3A;0
137;219500;7108999634.00;Z45;4A;42;5;5;E50;3A;1;0;1;S3;3A;1
138;398000;8744000244.00;Z41;3A;11;2;5;E100;1A;2;1;1;S4;4A;1
139;254000;7837999725.00;Z32;4A;11;5;5;E50;1A;1;0;1;S3;3A;1
140;257500;8033999634.00;Z45;3B;23;6;5;E50;2B;2;1;1;S4;3A;1
141;341000;9583999634.00;Z43;3B;27;3;5;E100;1A;2;1;1;S4;4A;1
142;373000;1060500031.00;Z21;3A;16;4;5;E100;1A;2;0;1;S3;4A;1
143;224000;7920999908.00;Z38;4B;9;3;4;E100;1A;1;0;1;S3;3A;1
144;252000;1047600021.00;Z47;3A;24;4;5;E100;1A;2;0;1;S3;4A;1
145;253500;7126000214.00;Z37;3B;23;7;5;E100;1A;1;0;1;S2;3A;0
146;216000;7513999939.00;Z32;3B;30;5;3;E50;2B;1;0;0;S4;3A;1
147;222000;7654000092.00;Z36;4A;19;2;4;E50;1A;1;0;0;S4;3A;1
148;356000;1303699951.00;Z44;2B;15;7;6;E100;1A;2;0;1;S4;4A;0
149;207000;6302999878.00;Z45;4A;40;6;4;E50;2A;1;0;1;S3;3A;1
150;293000;1045299988.00;Z52;3A;10;4;5;E50;1A;2;0;1;S3;3A;1
151;210000;8044000244.00;Z46;4B;37;2;5;E100;2B;1;0;1;S3;1A;0
152;396000;1149100037.00;Z42;3A;11;7;5;E50;1A;2;1;1;S5;3A;1
153;193000;6726999664.00;Z62;4A;14;3;5;E100;2A;1;0;0;S3;3A;1
154;303500;9193000031.00;Z61;2B;13;4;5;E50;1A;2;1;1;S3;3A;1
155;354600;1006399994.00;Z36;2B;22;6;5;E100;1A;2;1;1;S2;3A;1
156;247800;8094000244.00;Z21;3B;11;5;4;E50;1A;1;0;1;S3;3A;1
157;287000;9001999664.00;Z41;3A;15;4;5;E100;1A;2;0;1;S2;3B;1
158;256000;7969000244.00;Z48;3B;20;2;5;E50;2A;1;0;1;S3;3A;1
159;220000;7055999756.00;Z48;4B;11;5;4;E50;1A;1;0;0;S3;3A;1
160;252000;6791000366.00;Z32;4B;46;5;4;E50;2B;1;0;1;S2;1A;0
161;410000;1170500031.00;Z31;3A;27;4;6;E100;1A;2;0;1;S2;4A;1
162;325000;100.50;Z53;3B;11;10;5;E100;1A;2;0;1;S2;3A;1
163;160770;5938000107.00;Z61;4B;52;1;5;E100;2B;1;0;0;S3;3A;0
164;268000;8398999786.00;Z53;3A;11;8;5;E100;1A;2;0;1;S3;3A;1
165;285000;7963999939.00;Z49;3A;21;2;5;E100;1A;1;0;1;S2;4A;1
166;343500;9437000275.00;Z37;3A;18;2;6;E100;2A;1;0;1;S2;3A;1
167;295500;7658999634.00;Z43;3B;28;4;4;E100;2B;1;0;1;S3;4A;1
168;302500;9677999878.00;Z53;2B;7;5;5;E75;1A;2;0;1;S4;3A;1
169;250000;8251000214.00;Z36;3B;21;4;4;E50;1A;1;0;1;S4;3A;1
170;294000;8633999634.00;Z53;3B;18;10;5;E100;1A;2;0;1;S4;4A;1
171;308000;91.25;Z62;3A;9;4;5;E50;1A;2;0;1;S3;3A;1
172;204000;5400999832.00;Z53;3B;11;7;3;E100;1A;1;0;1;S3;3A;0
173;243000;8165000153.00;Z46;3B;16;8;5;E100;1A;2;0;1;S3;4A;1
174;231000;7763999939.00;Z62;4A;18;4;5;E100;2B;1;0;1;S3;3A;1
175;265000;9991999817.00;Z45;3B;24;2;6;E50;2B;1;0;1;S3;4A;1
176;309200;8743000031.00;Z41;2B;14;2;5;E100;1A;2;0;1;S2;3A;1
177;280000;8773999786.00;Z52;3A;19;2;5;E50;1A;2;0;1;S3;3A;1
178;295000;1003099976.00;Z36;3B;21;3;5;E50;2B;2;0;1;S4;4A;1
179;288000;7930000305.00;Z45;4A;13;2;5;E25;1A;1;0;1;S3;3A;1
180;222500;6944000244.00;Z47;4A;27;6;5;E50;1A;1;0;1;S3;4A;1
181;193000;5863000107.00;Z61;3B;19;4;5;E50;1A;1;0;0;S3;3A;1
182;260000;7919999695.00;Z38;3A;10;5;5;E50;1A;1;0;1;S3;3A;0
183;262000;1004400024.00;Z52;3A;7;3;5;E100;1A;2;0;1;S2;3B;1
184;360000;8552999878.00;Z21;3A;39;3;4;E100;1A;2;0;1;S3;3A;0
185;455000;1292400055.00;Z31;2A;13;8;6;E50;1A;2;0;1;S4;4A;1
186;433500;1135100021.00;Z41;2B;8;4;5;E100;1A;2;1;1;S4;3B;1
187;334500;9858000183.00;Z35;3B;18;3;5;E50;1A;1;0;1;S4;3A;1
188;185000;5458000183.00;Z32;3B;13;3;5;E50;1A;1;0;0;S5;3A;0
189;262500;9419999695.00;Z61;3B;19;2;5;E100;1A;1;0;1;S2;4A;1
190;366000;1065999985.00;Z36;3B;19;2;6;E100;1A;2;1;1;S2;3A;1
191;277000;81.00;Z52;3B;8;5;5;E100;1A;2;0;1;S3;3A;1
192;320000;9827999878.00;Z61;3B;22;5;5;E100;1A;2;1;1;S3;3A;1
193;223200;7887000275.00;Z32;4A;13;2;5;E50;1A;1;0;0;S3;3A;1
194;260000;7737999725.00;Z35;4A;19;4;5;E50;1A;1;0;1;S4;3A;0
195;320000;1111100006.00;Z46;3A;20;7;6;E50;1A;2;0;1;S3;4A;1
196;271200;9695999908.00;Z37;4B;20;4;5;E75;1A;1;0;0;S2;3A;1
197;271000;5038000107.00;Z21;3A;16;3;3;E100;1A;1;0;1;S3;3A;1
198;170500;5827999878.00;Z62;4B;25;1;4;E100;2B;1;0;0;S3;3A;1
199;261500;9633000183.00;Z47;4A;17;5;4;E100;1A;2;1;1;S3;4A;1
200;231000;7019999695.00;Z52;3B;16;11;5;E50;1A;1;0;1;S2;4A;1
201;262500;8652999878.00;Z49;3A;16;4;5;E100;1A;2;0;1;S2;3A;1
202;236000;9951999664.00;Z45;4A;26;8;5;E100;2B;1;0;1;S3;3A;1
203;155000;7111000061.00;Z11;5A;77;2;5;E50;2B;1;0;0;S4;1A;0
204;220000;6638999939.00;Z47;4A;21;6;4;E100;2B;1;0;1;S3;3A;1
205;249000;7351000214.00;Z32;4B;20;4;4;E50;1A;1;0;0;S4;3A;1
206;183000;1007099991.00;Z11;5A;93;4;4;E100;3A;1;0;0;S4;1A;0
207;285000;9716000366.00;Z41;3A;13;2;5;E100;1A;2;1;1;S2;3A;1
208;228000;8240000153.00;Z34;4A;21;3;5;E100;1A;1;0;1;S3;3A;1
209;220000;8311000061.00;Z34;4A;17;8;5;E100;2A;1;0;1;S2;3A;0
210;215000;7968000031.00;Z49;3B;13;5;4;E50;1A;1;0;0;S3;3A;0
211;210000;5650999832.00;Z53;3A;18;3;4;E100;1A;1;0;1;S4;4A;1
212;187000;6204000092.00;Z62;3B;13;4;4;E100;1A;1;0;0;S3;3A;1
213;225000;69.75;Z46;3B;1;6;5;E50;2A;1;0;1;S3;3A;1
214;215000;7290000153.00;Z45;3B;18;3;4;E100;2A;1;0;0;S3;3A;1
215;340000;9561000061.00;Z56;2B;8;6;5;E50;1A;2;1;1;S3;3A;1
216;280000;8322000122.00;Z34;3B;29;7;5;E50;2B;1;1;1;S3;4A;1
217;224000;7920999908.00;Z38;4A;6;3;4;E100;1A;1;0;1;S3;3A;1
218;237000;8138999939.00;Z61;4B;20;2;4;E100;2B;1;0;1;S4;4A;1
